anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count
244,211,63,1407,2022-02-02,889
241,227,38,1233,2022-02-03,727
151,166,35,991,2022-02-04,639
252,393,64,1732,2022-02-05,1023
258,259,61,1497,2022-02-06,919
255,304,39,1402,2022-02-07,804
241,332,56,1315,2022-02-08,686
163,205,37,1020,2022-02-09,615
216,271,57,1327,2022-02-10,783
382,358,85,2011,2022-02-11,1186
254,269,53,1483,2022-02-12,907
226,259,63,1378,2022-02-13,830
301,294,85,1689,2022-02-14,1009
322,425,103,1976,2022-02-15,1126
259,554,76,1979,2022-02-16,1090
233,334,59,1653,2022-02-17,1027
290,352,60,1791,2022-02-18,1089
295,339,155,1962,2022-02-19,1173
244,386,78,1782,2022-02-20,1074
198,200,49,1138,2022-02-21,691
210,286,77,1575,2022-02-22,1002
371,504,79,2456,2022-02-23,1502
265,317,73,1514,2022-02-24,859
173,273,65,1332,2022-02-25,821
246,287,61,1449,2022-02-26,855
316,358,77,1867,2022-02-27,1116
173,236,180,1345,2022-02-28,756
219,326,157,1728,2022-03-01,1026
469,568,219,2864,2022-03-02,1608
271,397,151,2057,2022-03-03,1238
538,569,79,2344,2022-03-04,1158
322,374,47,1840,2022-03-05,1097
399,442,50,2089,2022-03-06,1198
321,470,51,1936,2022-03-07,1094
246,278,30,1428,2022-03-08,874
185,238,48,1243,2022-03-09,772
368,309,38,1865,2022-03-10,1150
314,310,64,1824,2022-03-11,1136
389,640,146,2277,2022-03-12,1102
220,336,79,1536,2022-03-13,901
322,342,59,1679,2022-03-14,956
401,452,82,2174,2022-03-15,1239
312,489,57,2005,2022-03-16,1147
265,345,69,1726,2022-03-17,1047
304,296,89,1750,2022-03-18,1061
318,500,46,2162,2022-03-19,1298
280,647,34,1790,2022-03-20,829
125,197,48,958,2022-03-21,588
91,232,28,792,2022-03-22,441
142,149,17,811,2022-03-23,503
180,198,36,1038,2022-03-24,624
240,283,86,1502,2022-03-25,893
333,292,163,1952,2022-03-26,1164
383,364,442,2495,2022-03-27,1306
452,436,545,2403,2022-03-28,970
398,331,131,1877,2022-03-29,1017
347,175,233,1514,2022-03-30,759
254,181,98,1176,2022-03-31,643
129,82,49,725,2022-04-01,465
149,197,33,999,2022-04-02,620
631,378,204,2625,2022-04-03,1412
387,424,79,2213,2022-04-04,1323
463,487,57,1923,2022-04-05,916
391,429,59,2005,2022-04-06,1126
462,342,68,1965,2022-04-07,1093
394,321,29,1590,2022-04-08,846
264,289,52,1477,2022-04-09,872
173,305,70,1281,2022-04-10,733
434,344,101,1817,2022-04-11,938
526,287,71,1982,2022-04-12,1098
524,536,46,2212,2022-04-13,1106
352,255,62,1484,2022-04-14,815
396,405,55,2005,2022-04-15,1149
366,241,42,1456,2022-04-16,807
274,134,39,1163,2022-04-17,716
302,144,36,1185,2022-04-18,703
386,204,85,1630,2022-04-19,955
